"incident_id","machine_id","machine_type","location","incident_datetime","incident_type","failure_code","failure_description","sensor_id","sensor_type","sensor_value","maintenance_type","maintenance_action","downtime_minutes","reported_by","resolved_datetime","resolution_status","cost_estimate","root_cause"
"INC92111","MCN80027","CNC Lathe Series 4","Plant Beta","2024-06-13T08:11:00","machine_failure","F301","Sudden power drop in main spindle drive circuit.","","","","","","95","lcarter","2024-06-13T09:46:00","resolved","2900.3","Loose power connector caused intermittent outage."
"INC92112","MCN80028","Laser Cutter Model L","Plant Gamma","2024-06-14T14:59:00","sensor_anomaly","","Optical sensor flagged inconsistent readings during cut sequence.","SNSR10023B","OpticalSensor","0.57","","","9","automated_system_04","2024-06-14T15:08:00","resolved","150","Dust buildup on lens affected sensor accuracy."
"INC92113","MCN80029","Packaging Line Model Q","Plant Echo","2024-06-15T10:51:00","maintenance_event","","","","","","corrective","Cleared jam in output chute and replaced worn roller.","60","bwilson","2024-06-15T11:51:00","closed","900","Unplanned jam due to excess packaging debris."
"INC92114","MCN80030","Hydraulic Press Model C","Plant Delta","2024-06-16T13:27:00","machine_failure","F322","Hydraulic pump overheated, resulting in system shutdown.","","","","","","150","rlee","2024-06-16T15:57:00","resolved","4850","Blocked cooling vent caused pump temperature rise."
"INC92115","MCN80031","Robotic Arm Model X","Plant Alpha","2024-06-18T07:08:00","sensor_anomaly","","Torque sensor reading above normal during pick routine.","SNSR10024C","TorqueSensor","17.4","","","12","automated_system_01","2024-06-18T07:20:00","resolved","250","Misalignment of gripper increased torque requirement."
"INC92116","MCN80032","CNC Lathe Series 4","Plant Beta","2024-06-19T15:22:00","maintenance_event","","","","","","preventive","Checked lubricants and inspected spindle bearings.","40","hwang","2024-06-19T16:02:00","closed","800","Routine scheduled maintenance."
"INC92117","MCN80033","Laser Cutter Model L","Plant Gamma","2024-06-20T13:15:00","machine_failure","F327","Laser power supply failed calibration check.","","","","","","210","jdoe","2024-06-20T16:45:00","resolved","6100.5","Capacitor degradation led to unstable output."
"INC92118","MCN80034","Packaging Line Model Q","Plant Echo","2024-06-21T08:40:00","sensor_anomaly","","Barcode scanner failed to decode batch label.","SNSR10025D","BarcodeScanner","","","","6","automated_system_02","2024-06-21T08:46:00","resolved","110","Smudged label resulted in unreadable barcode."
"INC92119","MCN80035","Hydraulic Press Model C","Plant Delta","2024-06-22T12:22:00","maintenance_event","","","","","","predictive","Replaced hydraulic filter after predictive clog warning.","30","mpatel","2024-06-22T12:52:00","closed","650.6","Filter pressure differential exceeded setpoint."
"INC92120","MCN80036","Robotic Arm Model X","Plant Alpha","2024-06-23T09:28:00","machine_failure","F302","Shoulder joint actuator failed to initialize.","","","","","","125","lroberts","2024-06-23T11:33:00","resolved","3900","Actuator wiring insulation breakdown."
"INC92121","MCN80037","CNC Lathe Series 4","Plant Beta","2024-06-24T10:08:00","maintenance_event","","","","","","corrective","Realigned tailstock and lubricated slideways.","55","ahernandez","2024-06-24T11:03:00","closed","1020","Tailstock misalignment detected during operation."
"INC92122","MCN80038","Laser Cutter Model L","Plant Gamma","2024-06-25T15:05:00","sensor_anomaly","","Humidity sensor flagged excessive moisture in enclosure.","SNSR10026E","HumiditySensor","86.2","","","14","automated_system_01","2024-06-25T15:19:00","resolved","190","Failed dehumidifier increased enclosure humidity."
"INC92123","MCN80039","Packaging Line Model Q","Plant Echo","2024-06-26T07:55:00","maintenance_event","","","","","","preventive","Checked belt tension and cleaned rollers.","25","dnguyen","2024-06-26T08:20:00","closed","420","Routine belt maintenance completed."
"INC92124","MCN80040","Hydraulic Press Model C","Plant Delta","2024-06-27T14:18:00","machine_failure","F334","Valve controller returned error; press stuck at mid-cycle.","","","","","","165","gsmith","2024-06-27T17:03:00","resolved","4420","Faulty controller firmware caused valve lockup."
"INC92125","MCN80041","Robotic Arm Model X","Plant Alpha","2024-06-28T11:30:00","sensor_anomaly","","Current sensor detected spike during actuator movement.","SNSR10027F","CurrentSensor","23.9","","","16","automated_system_03","2024-06-28T11:46:00","resolved","210","Loose actuator wire intermittently shorted circuit."
"INC92126","MCN80042","CNC Lathe Series 4","Plant Beta","2024-06-29T10:10:00","maintenance_event","","","","","","corrective","Adjusted coolant flow and replaced clogged filter.","48","cwilson","2024-06-29T10:58:00","closed","950","Coolant filter restricted flow, causing alarm."
"INC92127","MCN80043","Laser Cutter Model L","Plant Gamma","2024-07-01T13:12:00","machine_failure","F328","Laser cooling system failure triggered emergency stop.","","","","","","195","tthompson","2024-07-01T16:27:00","resolved","4820.1","Broken coolant pump belt halted flow."
"INC92128","MCN80044","Packaging Line Model Q","Plant Echo","2024-07-02T09:33:00","sensor_anomaly","","Proximity sensor failed to register product at station 5.","SNSR10028G","ProximitySensor","0","","","8","automated_system_04","2024-07-02T09:41:00","resolved","125","Sensor wiring disconnected during cleaning."
"INC92129","MCN80045","Hydraulic Press Model C","Plant Delta","2024-07-03T14:20:00","maintenance_event","","","","","","predictive","Replaced actuator after predictive diagnostics flagged anomaly.","55","jchen","2024-07-03T15:15:00","closed","1300","Wear pattern in actuator predicted imminent failure."
"INC92130","MCN80046","Robotic Arm Model X","Plant Alpha","2024-07-05T07:55:00","machine_failure","F314","End effector controller error during pick sequence.","","","","","","85","hkim","2024-07-05T09:20:00","resolved","2750","Firmware bug caused controller reset."
"INC92131","MCN80047","CNC Lathe Series 4","Plant Beta","2024-07-06T10:41:00","maintenance_event","","","","","","preventive","Inspected tooling and changed coolant.","32","tlee","2024-07-06T11:13:00","closed","600","Routine preventive maintenance."
"INC92132","MCN80048","Laser Cutter Model L","Plant Gamma","2024-07-07T16:28:00","machine_failure","F321","Laser head temperature exceeded safe limit.","","","","","","121","obrown","2024-07-07T18:29:00","resolved","3650","Cooling fan obstructed by debris."
"INC92133","MCN80049","Packaging Line Model Q","Plant Echo","2024-07-08T08:02:00","sensor_anomaly","","Weight sensor registered out-of-range value on line.","SNSR10029H","WeightSensor","12.8","","","7","automated_system_02","2024-07-08T08:09:00","resolved","120","Uncalibrated scale led to misreadings."
"INC92134","MCN80050","Hydraulic Press Model C","Plant Delta","2024-07-09T14:17:00","maintenance_event","","","","","","corrective","Tightened loose cylinder bolts and tested system.","37","slopez","2024-07-09T14:54:00","closed","840","Cylinder vibration detected during operation."
"INC92135","MCN80051","Robotic Arm Model X","Plant Alpha","2024-07-11T07:35:00","machine_failure","F331","Gripper failed to close during pick sequence.","","","","","","36","mbaker","2024-07-11T08:11:00","resolved","1050","Foreign object obstructed gripper movement."
"INC92136","MCN80052","CNC Lathe Series 4","Plant Beta","2024-07-12T08:44:00","maintenance_event","","","","","","predictive","Scheduled predictive replacement of spindle sensor.","27","jwright","2024-07-12T09:11:00","closed","480","Sensor diagnostics predicted failure within 2 weeks."
"INC92137","MCN80053","Laser Cutter Model L","Plant Gamma","2024-07-13T15:09:00","machine_failure","F336","System controller returned error code at startup.","","","","","","182","rjohnson","2024-07-13T18:11:00","resolved","4520","Controller board shorted during power surge."
"INC92138","MCN80054","Packaging Line Model Q","Plant Echo","2024-07-14T09:13:00","sensor_anomaly","","Optical sensor failed to register product on line.","SNSR10030I","OpticalSensor","0","","","10","automated_system_03","2024-07-14T09:23:00","resolved","135","Sensor lens obstructed by packaging debris."
"INC92139","MCN80055","Hydraulic Press Model C","Plant Delta","2024-07-15T13:23:00","maintenance_event","","","","","","corrective","Replaced pressure relief valve and tested system.","41","sperez","2024-07-15T14:04:00","closed","920","Valve failed leak-down test."
"INC92140","MCN80056","Robotic Arm Model X","Plant Alpha","2024-07-17T07:48:00","machine_failure","F333","Wrist servo locked at mid-position during cycle.","","","","","","72","jclark","2024-07-17T09:00:00","resolved","1850","Servo controller firmware bug."
"INC92141","MCN80057","CNC Lathe Series 4","Plant Beta","2024-07-18T10:50:00","maintenance_event","","","","","","predictive","Predictive replacement of tailstock sensor module.","32","fyoung","2024-07-18T11:22:00","closed","520","Sensor flagged for replacement by diagnostics."
"INC92142","MCN80058","Laser Cutter Model L","Plant Gamma","2024-07-19T15:06:00","machine_failure","F329","Laser optics failed calibration; output out-of-spec.","","","","","","167","jwilson","2024-07-19T17:53:00","resolved","4620","Optical alignment drifted due to vibration."
"INC92143","MCN80059","Packaging Line Model Q","Plant Echo","2024-07-20T08:18:00","sensor_anomaly","","Temperature sensor flagged low reading at station 3.","SNSR10031J","TempSensor","22.7","","","13","automated_system_01","2024-07-20T08:31:00","resolved","195","Sensor cable partially disconnected."
"INC92144","MCN80060","Hydraulic Press Model C","Plant Delta","2024-07-22T13:49:00","maintenance_event","","","","","","preventive","Checked hydraulic lines and performed leak test.","29","khernandez","2024-07-22T14:18:00","closed","530","No issues detected; preventive check completed."
"XG1J-9TQ","MCN-8153","Lathe Model XT2000","Plant D - Houston","2024-06-03T13:44:00","machine_failure","E104","Gear mechanism jammed due to lubricant contamination.","","","","","","185","j.harris","2024-06-03T17:55:00","resolved","2390.5","Lubricant filter not replaced during previous service."
"2H8L-VQ6","MCN-9284","CNC Milling CMX900","Plant A - Seattle","2024-06-05T09:22:00","sensor_anomaly","S203","Temperature sensor reported erratic high values.","SNS-0038742","Temperature","99.3","","","45","system_alert","2024-06-05T10:30:00","resolved","480","Sensor probe exposed to coolant spray during operation."
"QW5E-1LK","MCN-2376","Press Forge PF700","Plant F - Atlanta","2024-06-06T14:05:00","maintenance_event","","Scheduled predictive maintenance completed on hydraulic system.","","","","predictive","Hydraulic fluid replaced and pressure valves recalibrated.","120","m.walters","2024-06-06T16:10:00","closed","950.75","Routine service according to predictive analytics schedule."
